id,passenger_name,age,gender,train_no,booking_type,source,destination,coach,seat_no,fare,travel_date,ticket_status,crowd_level
84,Sim Brosenius,14,Male,38054,Online,Bangalore,Hyderabad,B1,61,2002,4/28/2021,RAC,high
85,Darya Nulty,57,Female,90658,Tatkal,Tirunelveli,Madurai,A1,66,885,5/11/2023,Confirmed,low
86,Dougy Wooler,26,Non-binary,14599,Counter,Chennai,Bangalore,B1,52,1195,1/17/2019,Cancelled,medium
87,Maryann Kairns,22,Female,52636,Tatkal,Coimbatore,Bangalore,S2,57,1248,12/3/2022,RAC,medium
88,Sherm Cripps,48,Male,46383,Online,Erode,Hyderabad,A2,71,1414,4/10/2019,Cancelled,medium
89,Sebastien Althrop,56,Male,41833,Direct,Trichy,Madurai,D1,26,1638,8/11/2018,Waiting,medium
90,Tandy O'Scannill,8,Polygender,43005,Online,Bangalore,Hyderabad,A2,68,226,5/25/2023,RAC,low
91,Shandeigh Drewell,34,Female,89440,Direct,Salem,Coimbatore,A1,71,2257,8/20/2021,RAC,high
92,Alfred Owtram,17,Genderfluid,94752,Online,Tirunelveli,Bangalore,S2,32,2005,8/5/2025,RAC,high
93,Maybelle Scullin,8,Female,97174,Direct,Trichy,Tirunelveli,S1,29,699,10/13/2021,Waiting,low
94,Maxy Plummer,46,Male,26489,Online,Tirunelveli,Coimbatore,S3,29,2328,12/4/2019,RAC,high
95,Alwyn Knowlton,70,Male,67756,Tatkal,Coimbatore,Hyderabad,S1,58,367,11/2/2023,Cancelled,low
96,Melony Lobbe,58,Female,39550,Online,Coimbatore,Hyderabad,S3,8,483,9/18/2025,RAC,low
97,Haleigh Huston,8,Male,38297,Tatkal,Coimbatore,Chennai,B1,4,996,11/16/2020,Waiting,medium
98,Ebba Ownsworth,51,Female,61013,Tatkal,Hyderabad,Tirunelveli,D1,64,646,3/2/2022,Cancelled,low
99,Kai Kennewell,27,Female,45817,Counter,Erode,Erode,A2,18,993,8/4/2020,Cancelled,medium
100,Adamo Ashby,31,Male,92891,Tatkal,Bangalore,Chennai,S3,5,814,3/8/2021,Confirmed,low
101,Harlan Purches,54,Male,18248,Direct,Erode,Bangalore,S2,47,1141,1/23/2020,Cancelled,medium
102,Marianne Crippen,54,Female,56910,Tatkal,Salem,Hyderabad,B1,9,376,10/4/2025,RAC,low
103,Harland Poynzer,66,Male,36925,Tatkal,Madurai,Trichy,A2,38,2201,6/10/2024,Waiting,high
104,Andres Croughan,55,Male,13979,Tatkal,Coimbatore,Erode,S2,65,1163,12/2/2023,Confirmed,medium
105,Caleb Janisson,30,Male,45807,Online,Madurai,Bangalore,S3,31,2100,9/6/2019,Confirmed,high
106,Filide Malamore,6,Female,29722,Counter,Bangalore,Trichy,A1,30,2106,8/26/2021,Cancelled,high
107,Dyane Jaffa,19,Female,59354,Online,Bangalore,Coimbatore,D1,46,2223,5/31/2019,Waiting,high
108,Byran Yea,29,Male,17460,Direct,Bangalore,Coimbatore,D1,14,1268,8/14/2025,RAC,medium
109,Glad Gillio,52,Female,61630,Online,Madurai,Madurai,A1,34,1277,11/22/2024,Confirmed,medium
110,Alvan Clynman,34,Male,63398,Direct,Erode,Bangalore,S2,61,1736,5/1/2022,Confirmed,high
111,Danya Mainson,44,Female,46408,Online,Salem,Salem,S3,69,1713,9/26/2025,Confirmed,medium
112,Camella Kiehl,21,Female,2736,Direct,Trichy,Coimbatore,A1,14,1072,8/4/2022,Confirmed,medium
113,Francyne Dabnot,26,Female,70011,Direct,Trichy,Chennai,A1,1,1189,5/26/2020,Waiting,medium
114,Wilona Khilkov,11,Female,3107,Counter,Chennai,Chennai,S1,55,2003,6/10/2019,Waiting,high
115,Franciska Seatter,30,Female,67928,Direct,Salem,Bangalore,S3,23,2233,10/20/2023,RAC,high
116,Urson Gerritsma,55,Male,36146,Tatkal,Salem,Tirunelveli,S2,11,475,4/1/2025,RAC,low
117,Raimund Jendrach,48,Male,13577,Counter,Erode,Coimbatore,S3,37,1312,12/29/2022,Confirmed,medium
118,Rich Garden,58,Male,16510,Online,Hyderabad,Hyderabad,B1,41,2210,4/5/2021,Confirmed,high
119,Sandro Whitehorn,19,Male,55006,Tatkal,Trichy,Madurai,S3,2,579,1/13/2026,Waiting,low
120,Carlyle Riolfi,5,Male,16144,Counter,Chennai,Salem,S1,9,1383,6/15/2025,Cancelled,medium
121,Gerrilee Tiltman,46,Female,31866,Online,Chennai,Erode,D1,65,828,12/11/2022,RAC,low
122,Ingunna Faulkener,51,Female,86040,Counter,Tirunelveli,Hyderabad,S3,25,565,11/5/2021,Waiting,low
123,Purcell Bagby,42,Agender,41015,Tatkal,Bangalore,Madurai,D1,30,1517,9/11/2021,Cancelled,medium
124,Tybalt Beavors,79,Male,67898,Online,Chennai,Trichy,S3,69,1017,1/10/2023,Confirmed,medium
125,Jason Gobeau,65,Male,22225,Online,Trichy,Madurai,A1,57,1199,1/13/2021,Cancelled,medium
126,Rey Devil,43,Female,41468,Direct,Bangalore,Bangalore,D1,53,1605,5/3/2019,Confirmed,medium
127,Rubetta Mugford,5,Female,64049,Direct,Bangalore,Madurai,B1,6,619,10/9/2024,RAC,low
128,Silvan Reveland,42,Male,57549,Tatkal,Salem,Madurai,A2,65,1734,3/5/2020,Cancelled,high
129,Gareth Charity,22,Male,46210,Tatkal,Salem,Trichy,B1,26,1710,1/13/2026,Waiting,medium
130,Marilee Brelsford,26,Female,3229,Counter,Hyderabad,Madurai,D1,17,1440,7/20/2018,Confirmed,medium
131,Ammamaria Gounet,30,Female,57016,Online,Salem,Chennai,S2,4,1333,11/8/2023,RAC,medium
132,Glenn Fibbit,10,Female,59175,Counter,Coimbatore,Coimbatore,S2,33,2164,8/30/2020,RAC,high
133,Jaquenetta Neylan,70,Female,23856,Tatkal,Hyderabad,Madurai,S3,39,2058,7/28/2022,Waiting,high
134,Henryetta Guille,14,Female,49153,Online,Hyderabad,Madurai,S2,45,1491,8/22/2023,Confirmed,medium
135,Joeann McKinney,23,Female,19915,Tatkal,Coimbatore,Trichy,S3,23,371,9/29/2025,Confirmed,low
136,Melly Aikin,42,Female,91149,Tatkal,Erode,Coimbatore,S1,46,790,11/29/2018,Waiting,low
137,Georgy Vannini,61,Male,23699,Tatkal,Tirunelveli,Erode,D1,8,1083,7/28/2020,Waiting,medium
138,Ikey Kubicek,33,Male,44806,Online,Coimbatore,Madurai,A1,30,1919,12/3/2024,Cancelled,high
139,Aundrea Lemasney,63,Female,47637,Tatkal,Madurai,Madurai,S3,36,998,1/11/2023,RAC,medium
140,Teressa Crowther,11,Female,40487,Online,Chennai,Hyderabad,D1,72,1983,4/7/2019,RAC,high
141,Matilde Edds,55,Female,6425,Direct,Hyderabad,Coimbatore,A2,26,703,8/4/2023,Waiting,low
142,Nataline Sango,20,Female,47650,Online,Chennai,Trichy,S2,26,1332,6/25/2020,Waiting,medium
143,Marrissa Gifford,25,Female,4202,Online,Trichy,Bangalore,A1,63,654,8/6/2019,Confirmed,low
144,Mike Dreamer,71,Male,26702,Online,Erode,Salem,A1,31,2034,5/9/2021,Confirmed,high
145,Tedman Ryson,45,Male,75228,Counter,Tirunelveli,Trichy,D1,42,1926,7/19/2021,Cancelled,high
146,Bethanne Troucher,72,Female,69923,Tatkal,Erode,Chennai,A2,69,1283,7/7/2021,Waiting,medium
147,Mair Runciman,65,Female,28906,Online,Madurai,Tirunelveli,B1,62,625,6/5/2022,RAC,low
148,Flor Verrill,33,Female,28256,Direct,Bangalore,Chennai,S1,56,2037,4/2/2019,Cancelled,high
149,Kellen Longrigg,34,Female,31679,Tatkal,Erode,Madurai,B1,55,2147,12/29/2024,Waiting,high
150,Vere Tremain,80,Female,25282,Direct,Coimbatore,Tirunelveli,A2,72,1328,5/6/2020,Cancelled,medium
151,Carleton Selburn,61,Male,98631,Counter,Bangalore,Tirunelveli,B1,21,2421,9/20/2022,Waiting,high
152,Roda Chalmers,52,Female,53898,Counter,Erode,Madurai,D1,64,793,12/9/2023,Confirmed,low
153,Arlyn Scamel,52,Genderfluid,39398,Direct,Coimbatore,Hyderabad,B1,34,1305,10/31/2022,RAC,medium
154,Muire Prettejohns,24,Female,31704,Direct,Hyderabad,Madurai,B1,26,298,6/25/2024,Confirmed,low
155,Roberta Drews,53,Female,11978,Online,Trichy,Tirunelveli,S3,9,311,8/24/2022,RAC,low
156,Tricia Stadding,15,Polygender,43083,Counter,Bangalore,Salem,D1,61,2192,8/10/2019,Cancelled,high
157,Mollie Cubbon,62,Female,54406,Online,Hyderabad,Tirunelveli,S2,37,1460,9/3/2025,Waiting,medium
158,Vic Aldrich,47,Male,88613,Counter,Erode,Bangalore,S1,47,1568,4/5/2025,Waiting,medium
159,Jennine Pharrow,30,Female,61733,Direct,Hyderabad,Madurai,S3,57,1734,9/9/2019,RAC,high
160,Orlan Virgoe,24,Male,19576,Counter,Coimbatore,Salem,A2,52,381,7/8/2020,RAC,low
161,Sheri Large,55,Female,35399,Tatkal,Chennai,Bangalore,S3,54,1902,3/19/2026,Confirmed,high
162,Nathanial Pedycan,69,Male,29596,Online,Erode,Chennai,S2,33,1517,3/20/2026,Waiting,medium
163,Celinda Girhard,41,Female,75328,Tatkal,Erode,Erode,A2,3,1059,4/10/2021,Cancelled,medium
164,Svend Rizzotto,6,Male,21189,Online,Salem,Salem,S2,59,2300,1/26/2025,Cancelled,high
165,Carine Morfield,33,Female,29304,Tatkal,Trichy,Trichy,A1,52,2465,2/20/2023,RAC,high
166,Alma Lipscomb,65,Female,68069,Tatkal,Chennai,Salem,D1,53,2174,9/13/2021,Waiting,high
167,Yvonne Searby,34,Female,14306,Direct,Madurai,Trichy,A2,16,800,1/5/2020,RAC,low
168,Rheba Teanby,5,Female,81658,Tatkal,Salem,Chennai,D1,53,1842,1/23/2024,Cancelled,high
169,Curran Nisot,16,Male,6405,Counter,Madurai,Trichy,S1,63,644,11/13/2021,Confirmed,low
170,Rayna Cord,37,Female,36421,Tatkal,Erode,Erode,A2,53,2430,10/11/2023,Waiting,high
171,Liam Eyres,8,Male,17843,Direct,Bangalore,Erode,D1,32,820,12/4/2018,Cancelled,low
172,Drew Kick,65,Male,61831,Tatkal,Bangalore,Madurai,A1,46,2034,9/28/2023,Cancelled,high
173,Malorie Frise,12,Polygender,52612,Tatkal,Chennai,Madurai,S1,58,1081,6/4/2018,Waiting,medium
174,Yancy Avarne,59,Male,80912,Direct,Madurai,Chennai,A2,8,882,4/22/2022,Cancelled,low
175,Corney Haste,73,Male,39158,Direct,Erode,Salem,B1,35,1685,4/28/2021,Waiting,medium
176,Jobina Banishevitz,57,Female,74002,Tatkal,Tirunelveli,Coimbatore,S1,39,1390,5/15/2023,Waiting,medium
177,Agretha McLaverty,60,Female,43935,Direct,Hyderabad,Trichy,B1,66,2123,8/17/2022,Waiting,high
178,Ailey Marquess,71,Female,40035,Counter,Hyderabad,Coimbatore,S1,49,155,2/4/2021,Confirmed,low
179,Darelle Forgie,47,Female,17858,Direct,Madurai,Hyderabad,A1,45,1389,12/19/2025,RAC,medium
180,Kalina Farrin,21,Female,6457,Online,Trichy,Trichy,S1,12,1298,9/4/2025,Confirmed,medium
181,Farrah Rossbrook,76,Female,47414,Counter,Chennai,Salem,A1,8,1750,1/31/2023,Waiting,high
182,Adelheid Howis,70,Female,97659,Direct,Chennai,Tirunelveli,S3,68,235,4/2/2021,Cancelled,low
183,Susanna Van Hault,35,Female,64384,Online,Erode,Bangalore,A1,48,2311,12/27/2020,RAC,high
184,Karie Fonquernie,67,Female,92905,Tatkal,Madurai,Bangalore,S1,36,2483,5/30/2022,Confirmed,high
185,Mellicent Savidge,12,Female,58364,Online,Bangalore,Chennai,D1,37,2054,3/30/2019,Confirmed,high
186,Bianka Randalston,19,Female,23397,Tatkal,Hyderabad,Madurai,A2,43,1549,10/15/2023,Waiting,medium
187,Lise Parsonson,19,Female,44953,Counter,Madurai,Erode,A1,57,1003,6/2/2018,Waiting,medium
188,Zea Lyfe,14,Female,68232,Direct,Hyderabad,Bangalore,B1,39,1921,1/6/2024,Cancelled,high
189,Melicent Beardshaw,8,Female,27075,Counter,Trichy,Tirunelveli,S1,10,2118,5/27/2020,Waiting,high
190,Alfred Melonby,38,Male,50394,Tatkal,Salem,Tirunelveli,B1,52,1696,1/28/2023,Waiting,medium
191,Kellie Emptage,70,Female,28121,Tatkal,Tirunelveli,Salem,A2,52,2268,10/9/2018,Cancelled,high
192,Myriam Indgs,52,Female,37170,Direct,Tirunelveli,Salem,S2,71,2188,12/7/2019,RAC,high
193,Bobbe Baston,20,Female,80371,Counter,Tirunelveli,Tirunelveli,D1,62,1184,2/5/2026,Cancelled,medium
194,Bartholemy Caldecot,18,Male,1389,Direct,Tirunelveli,Chennai,B1,20,2489,2/21/2023,RAC,high
195,Suzann Francillo,11,Polygender,61472,Direct,Trichy,Madurai,D1,18,400,8/9/2020,Confirmed,low
196,Rene Gristock,30,Female,35787,Online,Madurai,Coimbatore,S2,54,198,5/27/2021,Waiting,low
197,Zsa zsa Barnhart,70,Non-binary,14911,Direct,Coimbatore,Trichy,D1,67,2227,7/12/2021,RAC,high
198,Sergio Skeete,5,Male,61839,Online,Erode,Bangalore,S2,70,508,8/31/2019,Cancelled,low
199,Kerry Beamont,69,Male,20173,Tatkal,Trichy,Hyderabad,A1,68,677,5/3/2021,Waiting,low
200,Arda Faustin,26,Female,26622,Direct,Trichy,Madurai,S2,64,1006,2/1/2021,Cancelled,medium
201,Paolina Warboys,66,Female,64482,Direct,Madurai,Tirunelveli,D1,58,1518,1/16/2023,RAC,medium
202,Linoel Minshull,77,Male,29142,Online,Trichy,Salem,D1,13,1162,9/18/2025,Cancelled,medium
203,Lonna Hiscoe,8,Female,91490,Counter,Salem,Tirunelveli,D1,22,2116,1/30/2019,Confirmed,high
204,Aron Yurchishin,48,Male,64960,Direct,Erode,Hyderabad,A2,13,2087,1/21/2019,Cancelled,high
205,Aloysius Fricker,80,Male,21043,Online,Salem,Salem,S2,72,808,5/13/2024,Cancelled,low
206,Evyn Stave,67,Male,64809,Direct,Chennai,Erode,S3,49,961,11/13/2018,Waiting,low
207,Hedwig Durnall,56,Female,14839,Counter,Madurai,Bangalore,S2,20,2056,7/3/2020,Confirmed,high
208,Savina Baxandall,14,Female,12799,Direct,Erode,Madurai,B1,11,683,1/4/2024,Cancelled,low
209,Simone Kendall,17,Female,99425,Online,Hyderabad,Tirunelveli,S2,44,2033,7/14/2022,Waiting,high
210,Matthew Sergeant,32,Male,23550,Online,Tirunelveli,Hyderabad,D1,55,2356,3/26/2025,RAC,high
211,Hyman Blackie,7,Polygender,66254,Direct,Chennai,Coimbatore,S3,48,790,10/24/2022,RAC,low
212,Buiron Jerok,31,Male,28995,Counter,Erode,Chennai,S2,53,840,3/14/2026,Cancelled,low
213,Noll Wakes,46,Male,62372,Counter,Chennai,Hyderabad,S2,4,1760,6/14/2025,Confirmed,high
214,Torin Jezard,24,Male,53646,Direct,Chennai,Coimbatore,A1,57,173,1/11/2022,Waiting,low
215,Vassily Gaule,13,Male,38629,Tatkal,Trichy,Trichy,S1,56,678,12/17/2022,Waiting,low
216,Dean Connor,36,Male,94983,Tatkal,Chennai,Tirunelveli,A2,10,385,7/2/2022,RAC,low
217,Udell Moulden,30,Male,99427,Online,Trichy,Salem,S3,72,972,2/15/2024,Cancelled,medium
218,Karia Stallebrass,80,Female,86646,Counter,Madurai,Bangalore,A1,35,1244,11/21/2025,Cancelled,medium
219,Allyson Sandels,59,Female,26329,Tatkal,Salem,Coimbatore,S1,63,2252,10/9/2023,Cancelled,high
220,Denyse Espina,19,Female,78928,Online,Chennai,Madurai,S2,24,2191,3/19/2022,RAC,high
221,Hollie Althrope,21,Genderqueer,58160,Online,Madurai,Trichy,A1,39,2463,9/30/2021,Cancelled,high
222,Guthrey Newlands,77,Male,55102,Counter,Erode,Trichy,S1,34,1904,12/13/2019,Confirmed,high
223,Rodolfo McKenney,36,Male,72518,Direct,Bangalore,Trichy,A1,43,394,9/24/2021,Waiting,low
224,Jaclin Toolan,45,Female,2322,Counter,Chennai,Bangalore,A2,65,280,3/20/2022,RAC,low
225,Delila Thurby,7,Female,68992,Counter,Bangalore,Bangalore,S2,52,799,2/23/2023,Confirmed,low
226,Neely Hammerberg,17,Female,45913,Direct,Tirunelveli,Madurai,A1,68,473,7/31/2022,Confirmed,low
227,Magda Gainseford,71,Female,90959,Tatkal,Hyderabad,Tirunelveli,S1,45,1652,11/6/2024,Waiting,medium
228,Clayson Isaksen,28,Male,28489,Counter,Trichy,Bangalore,S2,60,2221,3/10/2026,Confirmed,high
229,Jake Sherrett,18,Male,71170,Online,Salem,Trichy,S3,53,872,5/9/2019,Cancelled,low
230,Reinold McLarnon,68,Male,75539,Online,Trichy,Salem,S2,16,2274,3/23/2021,Confirmed,high
231,Dion Camis,15,Male,1498,Counter,Coimbatore,Coimbatore,D1,70,888,7/31/2025,Waiting,low
232,Etienne Helin,43,Male,34094,Counter,Erode,Coimbatore,B1,33,466,11/27/2025,Cancelled,low
233,Chlo Espley,5,Non-binary,88371,Counter,Salem,Tirunelveli,D1,14,1815,2/12/2022,Cancelled,high
234,Bat Stallan,64,Male,87644,Tatkal,Trichy,Erode,B1,54,2245,11/11/2021,Waiting,high
235,Tamiko Battson,60,Polygender,29138,Tatkal,Salem,Hyderabad,S3,51,235,10/28/2025,RAC,low
236,Dale Beaudry,27,Male,79334,Direct,Chennai,Tirunelveli,A2,63,561,11/19/2023,RAC,low
237,De Burgise,49,Female,86119,Direct,Salem,Bangalore,A2,22,2500,9/26/2020,Waiting,high
238,Stavros Reuss,43,Male,80569,Tatkal,Erode,Tirunelveli,S1,20,962,2/12/2022,RAC,low
239,Conny Bucham,20,Male,78895,Tatkal,Bangalore,Coimbatore,B1,24,1050,3/21/2020,Confirmed,medium
240,Roxanna Sappy,44,Female,78225,Online,Coimbatore,Hyderabad,S2,58,1587,5/28/2023,Waiting,medium
241,Jasen Beer,8,Male,81430,Online,Erode,Salem,B1,15,183,7/4/2018,Cancelled,low
242,Orlando Wyse,42,Male,51256,Tatkal,Hyderabad,Bangalore,S1,48,1557,7/29/2020,Confirmed,medium
